Mercado1,"Cancelamento de Ofertas ""INÍCIO""","Cancelamento de Ofertas ""FIM""","Pré-Abertura ""INÍCIO""","Pré-Abertura ""FIM""","Negociação ""INÍCIO""","Negociação ""FIM""","Call de Fechamento ""INÍCIO""","Call de Fechamento ""FIM""","After-Market2 Cancelamento de Ofertas ""INÍCIO""","After-Market2 Cancelamento de Ofertas ""FIM""","After-Market2 Negociação ""INÍCIO""","After-Market2 Negociação ""FIM""","After-Market2 Cancelamento de Ofertas ""INÍCIO""","After-Market2 Cancelamento de Ofertas ""FIM"""
Mercado a vista,09:30,09:45,09:45,10:00,10:00,16:55,16:55,17:00,17:25,17:30,17:30,18:00,18:25,18:45
Fracionário,09:30,09:45,09:45,10:00,10:00,16:55,16:55,17:00,17:25,17:30,17:30,18:00,18:25,18:45
Mercado a termo,–,–,–,–,10:00,17:25,–,–,–,–,17:30,18:00,–,–
Mercado de opções,09:30,09:45,09:45,10:00,10:00,16:55,16:55,17:15,17:25,17:30,–,–,–,–
BOVESPA Mais – Todos os ativos,09:30,09:45,09:45,10:00,10:00,16:55,16:55,17:00,17:25,17:30,17:30,18:00,18:25,18:45
BDRs Não Patrocinados,09:30,09:45,09:45,10:00,10:00,16:55,16:55,17:05,17:25,17:30,17:30,18:00,18:25,18:45
BDRs Patrocinados,09:30,09:45,09:45,10:00,10:00,16:55,16:55,17:00,17:25,17:30,17:30,18:00,18:25,18:45
Fundos de Investimentos,09:30,09:45,09:45,10:00,10:00,16:55,16:55,17:00,17:25,17:30,17:30,18:00,18:25,18:45
ETFs de renda variável,09:30,09:45,09:45,10:05,10:05,16:55,16:55,17:15,17:25,17:30,17:30,18:00,18:25,18:45
ETFs de renda fixa,09:30,09:45,09:45,10:00,10:00,16:55,16:55,17:00,17:25,17:30,17:30,18:00,18:25,18:45
Mercado de balcão organizado –Todos os ativos,09:30,09:45,09:45,10:00,10:00,16:55,16:55,17:00,17:25,17:30,17:30,18:00,18:25,18:45
Opções sobre índice de ações,09:30,09:45,09:45,10:00,10:00,16:50,16:50,17:15,17:25,17:30,–,–,–,–
